Campaign_ID,Campaign_Name,Channel,Region,Budget (₹),Spent (₹),Leads_Generated,Conversions,Conversion_Rate (%),Revenue (₹),ROI (%),Status,Start_Date,End_Date
CAMP-225,New Year Blast,Email,Central,418009,125823,905,133,4.62,77798,38.22,Active,2024-08-12,2024-09-12
CAMP-226,Flash Friday,Email,South,52719,295813,2198,10,2.44,665937,125.63,Paused,2024-08-13,2024-09-13
CAMP-227,Winter Fest,Influencer,West,203962,450596,1081,977,9.63,377031,159.29,Paused,2024-08-14,2024-09-14
CAMP-228,Monsoon Offer,Radio,North,479725,406542,4990,864,1.29,69477,151.17,Completed,2024-08-15,2024-09-15
CAMP-229,Diwali Dhamaka,Influencer,North,92534,130677,3321,649,11.36,460482,147.39,Active,2024-08-16,2024-09-16
CAMP-230,Winter Fest,Social Media,East,142241,266958,3626,200,5.11,267400,21.3,Paused,2024-08-17,2024-09-17
CAMP-231,Flash Friday,TV Ads,Central,462003,68320,4232,525,0.5,267060,-0.56,Completed,2024-08-18,2024-09-18
CAMP-232,Diwali Dhamaka,Radio,North,176209,460630,3506,451,7.91,439959,133.77,Paused,2024-08-19,2024-09-19
CAMP-233,New Year Blast,Radio,Central,492061,166649,3556,152,1.18,561181,61.04,Paused,2024-08-20,2024-09-20
CAMP-234,New Year Blast,Radio,North,239004,145354,457,1224,4.5,557831,75.12,Active,2024-08-21,2024-09-21
CAMP-235,Summer Sale,Print Media,South,142124,108009,2761,542,10.75,963858,-13.15,Active,2024-08-22,2024-09-22
CAMP-236,Flash Friday,Radio,West,141659,277437,3138,236,1.41,455105,37.11,Paused,2024-08-23,2024-09-23
CAMP-237,Monsoon Offer,Influencer,North,214134,468625,1718,1346,12.67,336479,-12.59,Completed,2024-08-24,2024-09-24
CAMP-238,Diwali Dhamaka,Radio,Central,125713,48625,197,958,0.56,978758,173.42,Active,2024-08-25,2024-09-25
CAMP-239,Winter Fest,SEO,South,268335,232112,4377,1335,4.08,398754,33.55,Paused,2024-08-26,2024-09-26
CAMP-240,Flash Friday,TV Ads,North,125418,306233,3947,469,11.24,323586,102.61,Active,2024-08-27,2024-09-27
CAMP-241,Flash Friday,Radio,East,178232,56487,2000,1434,5.09,882721,-11.42,Active,2024-08-28,2024-09-28
CAMP-242,New Year Blast,TV Ads,West,478048,479054,415,560,1.98,890179,126.71,Active,2024-08-29,2024-09-29
CAMP-243,Summer Sale,SEO,North,213038,248071,1724,402,5.72,873759,51.07,Paused,2024-08-30,2024-09-30
CAMP-244,Summer Sale,SEO,South,456203,392592,4581,854,4.42,983703,177.54,Completed,2024-08-31,2024-10-01
CAMP-245,Diwali Dhamaka,TV Ads,East,218383,332282,4544,1240,12.72,384971,175.39,Completed,2024-09-01,2024-10-02
CAMP-246,New Year Blast,Email,South,343719,193895,2596,219,5.04,680752,51.56,Completed,2024-09-02,2024-10-03
CAMP-247,Flash Friday,Social Media,South,375996,450424,612,1148,11.94,181184,178.21,Active,2024-09-03,2024-10-04
CAMP-248,Monsoon Offer,Print Media,East,308722,336205,3612,655,13.43,137051,199.15,Paused,2024-09-04,2024-10-05
CAMP-249,New Year Blast,Email,South,182079,443875,2539,1284,6.79,200653,161.59,Active,2024-09-05,2024-10-06
CAMP-250,Diwali Dhamaka,Email,East,252053,121376,822,228,13.69,295300,165.87,Completed,2024-09-06,2024-10-07
CAMP-251,Diwali Dhamaka,Influencer,North,126242,445106,2087,416,5.97,634010,34.78,Completed,2024-09-07,2024-10-08
CAMP-252,New Year Blast,Print Media,East,228589,361278,3473,1476,14.48,142036,106.87,Paused,2024-09-08,2024-10-09
CAMP-253,Diwali Dhamaka,Print Media,East,79257,329199,2617,1387,1.79,802922,-5.2,Active,2024-09-09,2024-10-10
CAMP-254,New Year Blast,Email,West,485423,263341,1623,897,10.46,197595,0.88,Completed,2024-09-10,2024-10-11
CAMP-255,Winter Fest,Radio,East,194353,301652,3744,567,7.66,903392,199.76,Paused,2024-09-11,2024-10-12
CAMP-256,New Year Blast,Influencer,East,373390,455503,3341,559,6.12,822997,51.86,Active,2024-09-12,2024-10-13
CAMP-257,New Year Blast,Influencer,North,313579,492132,1296,151,9.67,331696,144.6,Active,2024-09-13,2024-10-14
CAMP-258,Diwali Dhamaka,SEO,West,279947,178056,3769,621,10.71,566612,157.47,Completed,2024-09-14,2024-10-15
CAMP-259,Diwali Dhamaka,Print Media,Central,281758,130169,3889,510,0.56,191880,168.77,Completed,2024-09-15,2024-10-16
CAMP-260,Summer Sale,Email,North,141357,290269,409,849,2.92,285419,199.48,Active,2024-09-16,2024-10-17
CAMP-261,Summer Sale,SEO,North,207732,56059,2426,711,10.84,204692,33.13,Active,2024-09-17,2024-10-18
CAMP-262,Winter Fest,TV Ads,Central,448300,482785,3059,605,10.16,313031,-11.12,Completed,2024-09-18,2024-10-19
CAMP-263,Summer Sale,Social Media,East,456723,123409,3043,290,14.51,343946,70.46,Active,2024-09-19,2024-10-20
CAMP-264,New Year Blast,Influencer,South,253667,430303,1012,433,11.54,659312,8.62,Completed,2024-09-20,2024-10-21
CAMP-265,Diwali Dhamaka,TV Ads,West,133807,25704,3682,865,14.29,538765,-15.07,Active,2024-09-21,2024-10-22
CAMP-266,Summer Sale,TV Ads,South,488755,473792,1877,279,10.69,820097,59.29,Completed,2024-09-22,2024-10-23
CAMP-267,Summer Sale,Radio,Central,428097,224456,1663,163,4.82,692927,152.42,Paused,2024-09-23,2024-10-24
CAMP-268,Winter Fest,Social Media,North,188563,238200,1690,623,2.03,954680,104.56,Completed,2024-09-24,2024-10-25
CAMP-269,Flash Friday,TV Ads,North,308778,131279,2266,671,11.84,656226,48.81,Completed,2024-09-25,2024-10-26
CAMP-270,Winter Fest,TV Ads,West,231264,485676,4362,92,9.84,267813,123.96,Paused,2024-09-26,2024-10-27
CAMP-271,New Year Blast,Social Media,North,435941,178280,427,956,1.2,826388,31.04,Active,2024-09-27,2024-10-28
CAMP-272,Diwali Dhamaka,Social Media,North,376032,138516,4264,908,5.72,434890,-16.84,Paused,2024-09-28,2024-10-29
CAMP-273,Winter Fest,TV Ads,West,123609,498366,4335,1459,14.37,862481,148.16,Completed,2024-09-29,2024-10-30
CAMP-274,Summer Sale,Social Media,West,321221,217096,419,1308,7.76,389933,117.22,Active,2024-09-30,2024-10-31
CAMP-275,Diwali Dhamaka,TV Ads,Central,298512,453098,2246,293,6.77,658814,147.71,Paused,2024-10-01,2024-11-01
CAMP-276,Diwali Dhamaka,TV Ads,North,303973,439139,3797,989,7.14,451062,-11.43,Active,2024-10-02,2024-11-02
CAMP-277,Summer Sale,Radio,North,333097,396188,701,182,3.53,533779,164.17,Active,2024-10-03,2024-11-03
CAMP-278,Winter Fest,Email,Central,426826,252549,819,1360,5.85,547952,116.3,Paused,2024-10-04,2024-11-04
CAMP-279,Summer Sale,TV Ads,East,380033,49165,2471,1096,5.86,620508,103.95,Active,2024-10-05,2024-11-05
CAMP-280,Flash Friday,SEO,East,204893,87203,830,1106,1.26,882595,117.42,Paused,2024-10-06,2024-11-06
CAMP-281,Diwali Dhamaka,Influencer,East,480783,286258,1766,772,11.63,446981,170.18,Completed,2024-10-07,2024-11-07
CAMP-282,Monsoon Offer,Print Media,Central,165374,478181,4033,1408,6.54,429270,109.13,Active,2024-10-08,2024-11-08
CAMP-283,Monsoon Offer,Email,North,74860,56321,1361,642,12.42,917918,107.81,Completed,2024-10-09,2024-11-09
CAMP-284,New Year Blast,Email,Central,202267,355441,3409,796,12.83,125277,197.95,Completed,2024-10-10,2024-11-10
CAMP-285,Summer Sale,Email,Central,127475,378796,572,952,3.57,569570,146.48,Active,2024-10-11,2024-11-11
CAMP-286,Summer Sale,Radio,East,399410,381448,571,1021,10.03,533455,77.3,Paused,2024-10-12,2024-11-12
CAMP-287,New Year Blast,TV Ads,South,202499,265014,4928,407,7.35,940677,135.63,Active,2024-10-13,2024-11-13
CAMP-288,New Year Blast,Radio,North,412876,176498,2370,1153,13.26,172332,65.63,Completed,2024-10-14,2024-11-14
CAMP-289,New Year Blast,TV Ads,East,339227,37772,985,943,3.63,284231,30.35,Completed,2024-10-15,2024-11-15
CAMP-290,Diwali Dhamaka,Radio,South,268118,385898,2280,1470,10.33,597219,111.31,Paused,2024-10-16,2024-11-16
CAMP-291,Flash Friday,Radio,South,369516,285856,4090,685,9.31,139116,184.2,Active,2024-10-17,2024-11-17
CAMP-292,Summer Sale,Influencer,West,173786,414583,4633,945,4.78,301671,184.41,Completed,2024-10-18,2024-11-18
CAMP-293,Diwali Dhamaka,SEO,North,487280,258389,4991,474,2.48,892065,55.22,Completed,2024-10-19,2024-11-19
CAMP-294,New Year Blast,Radio,South,57813,135142,3747,295,9.95,523918,96.09,Completed,2024-10-20,2024-11-20
CAMP-295,Summer Sale,Influencer,East,81598,111736,2887,274,11.21,626201,26.56,Paused,2024-10-21,2024-11-21
CAMP-296,Diwali Dhamaka,Social Media,West,307951,71924,4133,329,5.08,824504,199.04,Completed,2024-10-22,2024-11-22
CAMP-297,Flash Friday,SEO,North,143106,23726,2511,682,9.85,669064,195.85,Completed,2024-10-23,2024-11-23
CAMP-298,Diwali Dhamaka,Radio,Central,339226,371296,3293,1409,6.23,75991,122.89,Active,2024-10-24,2024-11-24
CAMP-299,Flash Friday,Print Media,East,341385,47723,3409,829,10.84,564265,156.97,Active,2024-10-25,2024-11-25
CAMP-300,New Year Blast,Email,South,277286,409113,735,98,3.39,760205,137.32,Completed,2024-10-26,2024-11-26
CAMP-301,Flash Friday,Social Media,South,487785,254182,2210,1236,13.41,678380,110.49,Completed,2024-10-27,2024-11-27
CAMP-302,Summer Sale,Social Media,East,61745,382638,4038,830,4.67,279577,-8.26,Active,2024-10-28,2024-11-28
CAMP-303,New Year Blast,Influencer,South,338173,160180,4116,1010,5.83,760672,80.05,Paused,2024-10-29,2024-11-29
CAMP-304,Summer Sale,Social Media,West,194097,228786,1617,343,1.34,453777,128.45,Paused,2024-10-30,2024-11-30
CAMP-305,Monsoon Offer,SEO,North,282732,55643,88,231,2.12,984405,129.06,Paused,2024-10-31,2024-12-01
CAMP-306,Winter Fest,Radio,West,435539,182396,2594,50,7.98,811401,62.09,Paused,2024-11-01,2024-12-02
CAMP-307,Flash Friday,Radio,South,195360,386040,4925,77,4.38,145556,187.17,Paused,2024-11-02,2024-12-03
CAMP-308,Winter Fest,Print Media,Central,139186,234432,1306,997,12.61,899307,16.82,Paused,2024-11-03,2024-12-04
CAMP-309,Winter Fest,Email,North,449756,159999,3040,523,0.71,206989,90.08,Paused,2024-11-04,2024-12-05
CAMP-310,Flash Friday,Influencer,North,409912,375824,2246,1160,6.0,374264,131.99,Paused,2024-11-05,2024-12-06
CAMP-311,New Year Blast,Email,East,263030,378690,3518,1288,5.39,445204,133.37,Active,2024-11-06,2024-12-07
CAMP-312,Monsoon Offer,Social Media,East,249950,435659,2758,704,0.78,556961,122.7,Paused,2024-11-07,2024-12-08
CAMP-313,Summer Sale,Print Media,Central,91846,99973,351,1049,2.3,946473,40.56,Paused,2024-11-08,2024-12-09
CAMP-314,Diwali Dhamaka,Email,North,388076,345593,696,486,6.5,702755,14.37,Paused,2024-11-09,2024-12-10
CAMP-315,Summer Sale,SEO,Central,198554,129834,4808,1095,7.65,570616,119.91,Completed,2024-11-10,2024-12-11
CAMP-316,Diwali Dhamaka,Radio,East,335555,256386,1809,890,6.36,457472,111.85,Active,2024-11-11,2024-12-12
CAMP-317,Summer Sale,Social Media,East,494191,489959,4401,441,8.2,430634,19.46,Active,2024-11-12,2024-12-13
CAMP-318,Flash Friday,Print Media,North,390941,473449,647,277,9.13,793088,135.13,Active,2024-11-13,2024-12-14
CAMP-319,Monsoon Offer,Email,West,364451,307681,711,1068,0.64,700443,80.14,Paused,2024-11-14,2024-12-15
CAMP-320,Diwali Dhamaka,Influencer,South,446309,359720,4380,788,7.23,340374,126.91,Paused,2024-11-15,2024-12-16
CAMP-321,New Year Blast,SEO,East,334186,127522,1418,503,14.47,548682,164.22,Completed,2024-11-16,2024-12-17
CAMP-322,Summer Sale,SEO,East,102930,42612,2631,670,8.03,109778,17.34,Active,2024-11-17,2024-12-18
CAMP-323,Summer Sale,Email,West,298656,245049,3918,1358,10.32,95833,-15.79,Paused,2024-11-18,2024-12-19
CAMP-324,Diwali Dhamaka,Radio,West,487629,288615,3587,1337,5.02,859057,151.4,Active,2024-11-19,2024-12-20
CAMP-325,New Year Blast,Email,Central,294459,186703,4915,1309,11.72,606376,114.13,Completed,2024-11-20,2024-12-21
CAMP-326,New Year Blast,Social Media,Central,274695,260069,4358,1022,11.71,785010,133.92,Completed,2024-11-21,2024-12-22
CAMP-327,Flash Friday,Email,South,410027,243131,4608,1234,8.06,416081,164.39,Completed,2024-11-22,2024-12-23
CAMP-328,Flash Friday,SEO,South,345900,51348,332,1478,14.65,514507,156.62,Active,2024-11-23,2024-12-24
CAMP-329,Flash Friday,Print Media,North,103268,215804,3728,1357,2.32,246375,191.4,Paused,2024-11-24,2024-12-25
CAMP-330,Flash Friday,Email,Central,482430,283321,1536,1068,0.75,126361,97.91,Paused,2024-11-25,2024-12-26
CAMP-331,Flash Friday,Radio,East,262943,155832,4132,986,11.67,400373,87.47,Completed,2024-11-26,2024-12-27
CAMP-332,Flash Friday,Print Media,Central,308916,314923,4233,491,12.2,185189,68.42,Paused,2024-11-27,2024-12-28
CAMP-333,Monsoon Offer,Influencer,East,471818,303780,510,737,2.24,664553,13.81,Completed,2024-11-28,2024-12-29
CAMP-334,New Year Blast,TV Ads,West,234403,101889,2375,489,4.35,572154,105.97,Active,2024-11-29,2024-12-30
CAMP-335,Flash Friday,Email,Central,98901,73551,3804,1098,0.75,672006,40.94,Completed,2024-11-30,2024-12-31
CAMP-336,New Year Blast,Radio,West,412130,424772,2518,1041,4.75,372854,182.69,Active,2024-12-01,2025-01-01
CAMP-337,New Year Blast,Print Media,South,244488,440814,1774,1334,11.71,669164,108.3,Completed,2024-12-02,2025-01-02
CAMP-338,Winter Fest,Radio,South,213268,162635,1426,352,8.01,80949,110.42,Paused,2024-12-03,2025-01-03
CAMP-339,Monsoon Offer,Influencer,North,440530,66819,2793,1464,5.55,990051,58.08,Paused,2024-12-04,2025-01-04
CAMP-340,Flash Friday,SEO,Central,317770,355914,564,1457,5.89,787242,-8.56,Completed,2024-12-05,2025-01-05
CAMP-341,Summer Sale,Radio,West,188496,440182,752,341,0.52,904568,-13.02,Paused,2024-12-06,2025-01-06
CAMP-342,Diwali Dhamaka,Print Media,East,325001,232781,1703,447,4.85,161541,73.13,Paused,2024-12-07,2025-01-07
CAMP-343,Summer Sale,Radio,South,291531,473105,2116,183,9.87,769979,-1.4,Paused,2024-12-08,2025-01-08
CAMP-344,Monsoon Offer,Radio,South,296693,178059,72,568,14.63,111842,113.51,Active,2024-12-09,2025-01-09
CAMP-345,Diwali Dhamaka,Radio,East,463198,360858,2510,536,12.78,538019,173.81,Paused,2024-12-10,2025-01-10
CAMP-346,Monsoon Offer,Social Media,West,445196,209420,1354,668,0.84,282930,174.24,Active,2024-12-11,2025-01-11
CAMP-347,New Year Blast,Social Media,West,229362,44596,3350,35,13.53,339134,124.99,Completed,2024-12-12,2025-01-12
CAMP-348,Diwali Dhamaka,SEO,Central,76431,446390,411,829,11.86,721553,26.47,Paused,2024-12-13,2025-01-13
CAMP-349,New Year Blast,Email,Central,397120,346250,3777,614,11.82,342253,169.86,Paused,2024-12-14,2025-01-14
CAMP-350,Summer Sale,Radio,North,288360,483183,1334,415,7.14,180356,174.94,Paused,2024-12-15,2025-01-15
CAMP-351,Summer Sale,Influencer,South,394855,79182,564,241,6.27,986737,23.26,Completed,2024-12-16,2025-01-16
CAMP-352,Diwali Dhamaka,Email,Central,76385,369307,498,542,4.89,818917,142.23,Active,2024-12-17,2025-01-17
CAMP-353,Diwali Dhamaka,Influencer,West,481374,321454,1905,514,1.45,787090,43.03,Active,2024-12-18,2025-01-18
CAMP-354,Flash Friday,Email,East,466235,338232,3612,188,3.81,964565,156.58,Paused,2024-12-19,2025-01-19
CAMP-355,Monsoon Offer,SEO,West,330783,148803,2570,141,4.08,739870,199.39,Completed,2024-12-20,2025-01-20
CAMP-356,Flash Friday,Radio,South,135530,159978,3131,1488,7.52,837738,-13.39,Completed,2024-12-21,2025-01-21
CAMP-357,Monsoon Offer,Radio,West,280983,319058,1478,357,11.34,53849,177.42,Completed,2024-12-22,2025-01-22
CAMP-358,Flash Friday,TV Ads,North,333707,392494,4017,549,7.37,62360,116.98,Completed,2024-12-23,2025-01-23
CAMP-359,New Year Blast,Influencer,South,482557,65379,972,781,1.34,423216,194.14,Completed,2024-12-24,2025-01-24
CAMP-360,Diwali Dhamaka,Email,East,427816,491828,3187,1439,14.39,827567,82.3,Active,2024-12-25,2025-01-25
CAMP-361,Summer Sale,Email,North,448992,265900,2209,85,14.17,669055,166.43,Active,2024-12-26,2025-01-26
CAMP-362,Monsoon Offer,Social Media,South,479660,278517,2597,588,11.89,311445,-6.27,Active,2024-12-27,2025-01-27
CAMP-363,Monsoon Offer,TV Ads,East,451927,450866,3029,863,14.87,751160,53.76,Paused,2024-12-28,2025-01-28
CAMP-364,Summer Sale,Print Media,North,255390,460097,2331,203,8.39,571658,-5.26,Completed,2024-12-29,2025-01-29
CAMP-365,Flash Friday,Print Media,North,395114,328557,2699,1195,14.46,480179,194.58,Paused,2024-12-30,2025-01-30
CAMP-366,Monsoon Offer,Social Media,South,293373,157084,363,356,1.6,104330,159.73,Completed,2024-12-31,2025-01-31
CAMP-367,New Year Blast,Social Media,Central,397697,201187,2663,960,5.8,101707,167.56,Active,2025-01-01,2025-02-01
CAMP-368,Diwali Dhamaka,Social Media,North,211779,289295,3133,1394,3.77,330833,186.35,Paused,2025-01-02,2025-02-02
CAMP-369,Summer Sale,Influencer,North,220182,77716,2306,1120,3.34,603372,-1.28,Active,2025-01-03,2025-02-03
CAMP-370,Diwali Dhamaka,Influencer,East,242860,375891,1087,1295,2.54,90387,64.83,Completed,2025-01-04,2025-02-04
CAMP-371,Monsoon Offer,SEO,West,132879,243725,3539,223,9.52,911248,-4.37,Completed,2025-01-05,2025-02-05
CAMP-372,Monsoon Offer,SEO,South,482043,187450,2684,582,11.83,576930,26.37,Completed,2025-01-06,2025-02-06
CAMP-373,Summer Sale,Social Media,South,288260,193724,4033,789,8.89,878569,30.46,Active,2025-01-07,2025-02-07
CAMP-374,New Year Blast,TV Ads,Central,448871,223502,1828,271,2.63,523048,83.2,Completed,2025-01-08,2025-02-08
CAMP-375,Winter Fest,Email,Central,357003,164539,3945,739,12.26,236633,39.08,Active,2025-01-09,2025-02-09
CAMP-376,Summer Sale,Influencer,South,496841,444226,1174,292,9.72,898692,2.22,Paused,2025-01-10,2025-02-10
CAMP-377,Winter Fest,TV Ads,Central,364242,141999,747,1413,6.13,720798,16.85,Completed,2025-01-11,2025-02-11
CAMP-378,Flash Friday,Radio,East,196323,134793,2229,371,10.27,884874,12.4,Completed,2025-01-12,2025-02-12
CAMP-379,Winter Fest,Influencer,South,172413,467907,1454,1482,4.27,939493,194.08,Completed,2025-01-13,2025-02-13
CAMP-380,New Year Blast,Influencer,Central,312670,477373,1093,450,5.51,446210,147.04,Paused,2025-01-14,2025-02-14
CAMP-381,Flash Friday,SEO,South,380904,390321,1979,102,13.8,828799,192.91,Completed,2025-01-15,2025-02-15
CAMP-382,Winter Fest,Email,West,97837,32289,1063,762,4.71,437988,76.74,Active,2025-01-16,2025-02-16
CAMP-383,Flash Friday,Email,North,310550,196048,276,876,7.31,411719,41.24,Active,2025-01-17,2025-02-17
CAMP-384,Winter Fest,Print Media,South,323680,194668,1878,1457,13.41,838245,155.62,Completed,2025-01-18,2025-02-18
CAMP-385,New Year Blast,Print Media,North,78541,436387,4967,151,10.76,929459,51.78,Completed,2025-01-19,2025-02-19
CAMP-386,Winter Fest,Print Media,Central,129083,251513,2073,1324,1.4,959921,45.86,Paused,2025-01-20,2025-02-20
CAMP-387,Winter Fest,Print Media,North,494243,277368,2502,1465,2.64,134381,31.15,Paused,2025-01-21,2025-02-21
CAMP-388,Winter Fest,Radio,South,84531,106365,2135,758,0.61,824168,8.53,Paused,2025-01-22,2025-02-22
CAMP-389,Summer Sale,Radio,West,320856,250662,4333,662,9.65,891708,36.42,Completed,2025-01-23,2025-02-23
CAMP-390,Summer Sale,Influencer,Central,416245,396158,1130,710,6.99,877675,58.17,Paused,2025-01-24,2025-02-24
CAMP-391,Summer Sale,Social Media,South,377599,195211,2370,1007,2.45,243984,128.28,Paused,2025-01-25,2025-02-25
CAMP-392,New Year Blast,SEO,Central,124744,199785,3240,58,14.39,110272,-6.24,Active,2025-01-26,2025-02-26
CAMP-393,Flash Friday,SEO,East,302859,442950,2680,1335,8.18,545916,26.31,Paused,2025-01-27,2025-02-27
CAMP-394,Monsoon Offer,Print Media,North,179749,92588,2613,890,4.01,747411,157.99,Active,2025-01-28,2025-02-28
CAMP-395,Winter Fest,Influencer,East,317253,83646,3342,1223,7.76,788096,12.32,Active,2025-01-29,2025-03-01
CAMP-396,Winter Fest,TV Ads,South,361412,285798,4671,1169,10.35,303091,55.38,Paused,2025-01-30,2025-03-02
CAMP-397,New Year Blast,Social Media,West,281809,300887,3636,564,1.61,902050,170.22,Active,2025-01-31,2025-03-03
CAMP-398,Winter Fest,Influencer,Central,366759,330512,4481,413,4.48,314064,14.08,Completed,2025-02-01,2025-03-04
CAMP-399,Summer Sale,Social Media,North,132503,241097,2997,901,12.2,156121,-1.8,Completed,2025-02-02,2025-03-05
CAMP-400,Monsoon Offer,Social Media,Central,304346,225244,4009,874,7.17,520435,86.6,Paused,2025-02-03,2025-03-06
CAMP-401,Diwali Dhamaka,Social Media,South,472975,419657,2863,611,8.43,651160,46.53,Completed,2025-02-04,2025-03-07
CAMP-402,Winter Fest,Influencer,Central,135708,139735,2633,350,6.78,917564,103.95,Active,2025-02-05,2025-03-08
CAMP-403,Summer Sale,Print Media,North,241184,175683,211,713,1.14,314237,156.84,Completed,2025-02-06,2025-03-09
CAMP-404,Diwali Dhamaka,SEO,South,152471,402035,643,327,2.9,325049,10.17,Paused,2025-02-07,2025-03-10
CAMP-405,Monsoon Offer,SEO,Central,304225,127971,3309,627,6.96,696047,107.75,Paused,2025-02-08,2025-03-11
CAMP-406,Diwali Dhamaka,Print Media,West,207661,32149,4205,1396,3.53,467567,91.21,Active,2025-02-09,2025-03-12
CAMP-407,Summer Sale,Social Media,South,211087,382246,3012,391,1.22,343125,11.7,Paused,2025-02-10,2025-03-13
CAMP-408,Flash Friday,TV Ads,South,210081,341333,3938,242,12.73,910335,117.28,Completed,2025-02-11,2025-03-14
CAMP-409,Flash Friday,Email,West,395453,258976,3440,1377,14.73,907253,40.2,Paused,2025-02-12,2025-03-15
CAMP-410,Diwali Dhamaka,Influencer,East,438590,434891,4551,826,12.0,421344,87.32,Active,2025-02-13,2025-03-16
CAMP-411,New Year Blast,Email,North,243118,353175,713,562,12.88,132289,-1.9,Paused,2025-02-14,2025-03-17
CAMP-412,Diwali Dhamaka,Print Media,East,418805,62668,1182,865,4.01,690794,81.11,Completed,2025-02-15,2025-03-18
CAMP-413,Winter Fest,TV Ads,Central,207215,426889,591,828,14.43,652801,47.42,Active,2025-02-16,2025-03-19
CAMP-414,Winter Fest,Influencer,West,56154,489882,3024,192,3.36,463090,160.92,Completed,2025-02-17,2025-03-20
CAMP-415,Flash Friday,Print Media,East,202876,108204,917,1074,14.3,756291,-7.46,Active,2025-02-18,2025-03-21
CAMP-416,New Year Blast,Social Media,South,484904,231830,2116,406,14.92,450890,72.09,Paused,2025-02-19,2025-03-22
CAMP-417,Summer Sale,SEO,Central,114288,216501,481,788,10.82,362660,80.85,Active,2025-02-20,2025-03-23
CAMP-418,Winter Fest,Email,Central,101195,436885,4885,916,14.73,309480,139.5,Active,2025-02-21,2025-03-24
CAMP-419,Flash Friday,Radio,East,332725,185140,4328,1366,8.76,836331,106.34,Paused,2025-02-22,2025-03-25
CAMP-420,Monsoon Offer,Radio,East,495864,239861,1256,136,4.26,766046,126.79,Completed,2025-02-23,2025-03-26
CAMP-421,Flash Friday,TV Ads,West,342231,160507,2578,10,6.84,538067,150.95,Paused,2025-02-24,2025-03-27
CAMP-422,Winter Fest,Social Media,North,231002,245160,1219,1201,9.11,381356,169.68,Active,2025-02-25,2025-03-28
CAMP-423,Winter Fest,Email,East,214053,203321,880,28,1.56,183498,49.05,Paused,2025-02-26,2025-03-29
CAMP-424,Flash Friday,Social Media,East,119298,57384,1701,1365,9.52,304024,98.36,Active,2025-02-27,2025-03-30
CAMP-425,Summer Sale,Email,South,358311,101929,1186,593,14.73,705258,164.82,Paused,2025-02-28,2025-03-31
CAMP-426,Diwali Dhamaka,TV Ads,Central,256376,410103,2860,465,3.26,140009,197.68,Paused,2025-03-01,2025-04-01
CAMP-427,Winter Fest,TV Ads,North,486624,96153,525,966,11.99,773858,175.69,Completed,2025-03-02,2025-04-02
CAMP-428,Flash Friday,Radio,South,89499,255128,2860,1142,13.66,473159,61.72,Active,2025-03-03,2025-04-03
CAMP-429,Flash Friday,Social Media,West,437960,95388,1376,1301,14.18,771755,22.94,Completed,2025-03-04,2025-04-04
CAMP-430,New Year Blast,Influencer,West,495485,51401,1069,454,14.42,94816,87.67,Active,2025-03-05,2025-04-05
CAMP-431,Diwali Dhamaka,Radio,East,219631,222903,1886,1273,8.06,54138,143.16,Paused,2025-03-06,2025-04-06
CAMP-432,Monsoon Offer,Social Media,East,295198,139503,4306,1334,14.67,141176,88.37,Active,2025-03-07,2025-04-07
CAMP-433,Summer Sale,Radio,West,292997,252601,2498,611,11.48,388089,86.3,Completed,2025-03-08,2025-04-08
CAMP-434,Monsoon Offer,Influencer,East,146347,147834,4343,112,2.84,840449,164.41,Completed,2025-03-09,2025-04-09
CAMP-435,Diwali Dhamaka,SEO,North,360931,54084,1333,997,7.42,846883,59.51,Completed,2025-03-10,2025-04-10
CAMP-436,Diwali Dhamaka,SEO,East,347632,271459,709,1283,10.92,768316,169.15,Active,2025-03-11,2025-04-11
CAMP-437,Diwali Dhamaka,SEO,Central,386585,130641,2060,1486,4.09,406007,69.5,Completed,2025-03-12,2025-04-12
CAMP-438,Monsoon Offer,SEO,East,255735,125111,448,529,9.79,846710,52.21,Completed,2025-03-13,2025-04-13
CAMP-439,Diwali Dhamaka,Print Media,South,72431,469042,1783,1186,10.17,271552,79.88,Completed,2025-03-14,2025-04-14
CAMP-440,Flash Friday,Email,North,373825,449667,2175,868,2.86,93764,147.74,Paused,2025-03-15,2025-04-15
CAMP-441,Monsoon Offer,Print Media,South,244555,158299,2221,183,8.69,173030,7.72,Paused,2025-03-16,2025-04-16
CAMP-442,Diwali Dhamaka,Print Media,South,172720,182982,124,1376,11.69,968638,23.21,Active,2025-03-17,2025-04-17
CAMP-443,Flash Friday,Print Media,Central,99153,318185,4747,1014,7.73,899375,189.32,Active,2025-03-18,2025-04-18
CAMP-444,New Year Blast,SEO,North,318512,371064,3521,440,0.68,669955,18.61,Completed,2025-03-19,2025-04-19
CAMP-445,Diwali Dhamaka,Influencer,North,470640,347825,886,736,0.63,366462,104.9,Paused,2025-03-20,2025-04-20
CAMP-446,Monsoon Offer,TV Ads,North,424504,254386,549,859,5.68,939855,107.45,Completed,2025-03-21,2025-04-21
CAMP-447,Winter Fest,TV Ads,North,226076,363715,187,1357,13.93,416142,87.72,Completed,2025-03-22,2025-04-22
CAMP-448,Diwali Dhamaka,Email,North,269724,216553,2147,999,3.82,110128,121.84,Paused,2025-03-23,2025-04-23
CAMP-449,Winter Fest,SEO,Central,424899,481792,3746,648,9.7,269128,30.56,Paused,2025-03-24,2025-04-24
